PPAP Number,PPAP Req'd by Customer,Current Status,PPAP/IMDS from,FK_Customer_ID,Country,Rev,IMDS number,PPAP docs,Level,PPAP samples status,Reason of Submission,Sent to Customer,PSW returned from Cust Signed,Origin from report,Comments,INSPECTION REPORT NUMBER
PP00018-12,2005-07-13,Approved 2022,VEN238,5252,North America,,,,2,,Initial Submission,2022-08-24,25/08/2022,,,
PP00020-7,2005-07-13,Approved 2022,VEN238,5565,Europe,,,,2,,Initial Submission,2022-08-23,31/08/2022,,,
PP00020-8,2005-07-13,Approved 2022,VEN238,5566,Europe,,,,2,,Initial Submission,2022-08-23,31/08/2022,,,
PP00018-16,2005-07-13,Approved 2022,VEN238,5256,North America,,,,2,,Initial Submission,2022-09-01,07/09/2022,,,
PP00018-24,2005-07-13,Approved 2022,VEN238,5265,North America,,,,2,,Initial Submission,2022-09-29,29/09/2022,,,
PP00018-30,2005-07-13,Approved 2022,VEN238,5272,North America,,,,2,,Initial Submission,2022-10-19,19/10/2022,,,
PP00018-43,2005-07-13,Approved 2022,VEN238,5286,North America,,,,2,,Initial Submission,2022-11-25,28/11/2022,,,
PP00018-44,2005-07-13,Approved 2022,VEN238,5287,North America,,,,2,,Initial Submission,2022-11-25,28/11/2022,,,
PP00018-45,2005-07-13,Approved 2022,VEN238,5288,North America,,,,2,,Initial Submission,2022-11-25,28/11/2022,,,
PP00018-47,2005-07-13,Approved 2022,VEN238,5290,North America,,,,2,,Initial Submission,2022-12-20,20/12/2022,,,
PP00002-1,2005-07-13,,VEN238,5241,Morocco,,,,2,,Initial Submission,2020-08-01,,,,
PP00002-2,2005-07-13,,VEN238,5243,Morocco,,,,2,,Initial Submission,2020-08-01,,,,
PP00009-1,2005-07-13,PSW Pending Approve,VEN238,5658,Lithuania,,,,2,,Initial Submission,2021-09-06,,,,
PP00012-01,2005-07-13,PSW Pending Approve,VEN238,4045,Mexico,,,,2,,Initial Submission,2021-11-29,,,,
PP00012-01,2005-07-13,PSW Pending Approve,VEN238,4045,Mexico,,,,2,,Initial Submission,2021-11-29,,,,
PP00012-03,2005-07-13,PSW Pending Approve,VEN238,4046,Mexico,,,,2,,Initial Submission,2021-11-29,,,,
PP00012-03,2005-07-13,PSW Pending Approve,VEN238,4046,Mexico,,,,2,,Initial Submission,2021-11-29,,,,
PP00011-1,2005-07-13,PSW Pending Approve,VEN025,105,Mexico,,,,1,,Tooling,2021-12-20,,,,
PP00011-2,2005-07-13,PSW Pending Approve,VEN025,103,Mexico,,,,1,,Tooling,2021-12-20,,,,
PP00006-1,2005-07-13,NO Req from Customer,VEN238,5234,Hungary,,,,2,,Initial Submission,,,,,
PP00003-1,2005-07-14,Approved 2020,VEN025,104,Mexico,,,,4,,Initial Submission,2020-06-15,24/08/2020,,,
PP00003-2,2005-07-14,Approved 2020,VEN025,107,Mexico,,,,4,,Initial Submission,2020-06-15,24/08/2020,,,
PP00003-3,2005-07-14,Approved 2020,VEN025,108,Mexico,,,,4,,Initial Submission,2020-06-15,24/08/2020,,,
PP00003-4,2005-07-14,Approved 2020,VEN025,105,Mexico,,,,4,,Initial Submission,2020-06-15,24/08/2020,,,
PP00003-5,2005-07-14,Approved 2020,VEN025,103,Mexico,,,,4,,Initial Submission,2020-06-15,24/08/2020,,,
PP00007-1,2005-07-14,Approved 2021,VEN238,5552,Poland,,,,2,,Initial Submission,2021-06-17,21/06/2021,,,
PP00010-1,2005-07-14,Approved 2021,VEN238,5236,Hungary,,,,2,,Initial Submission,2021-10-24,02/11/2021,,,
PP00010-2,2005-07-14,Approved 2021,VEN238,5238,Hungary,,,,2,,Initial Submission,2021-10-24,02/11/2021,,,
PP00018-3,2005-07-14,Approved 2022,VEN238,5271,North America,,,,2,,Initial Submission,2022-06-08,10/06/2022,,,
PP00018-4,2005-07-14,Approved 2022,VEN238,5282,North America,,,,2,,Initial Submission,2022-06-08,10/06/2022,,,
PP00018-5,2005-07-14,Approved 2022,VEN238,5291,North America,,,,2,,Initial Submission,2022-06-08,10/06/2022,,,
PP00018-6,2005-07-14,Approved 2022,VEN329,5292,North America,,,,2,,Initial Submission,2022-06-14,21/06/2022,,,
PP00018-7,2005-07-14,Approved 2022,VEN329,5293,North America,,,,2,,Initial Submission,2022-07-04,05/07/2022,,,
PP00018-8,2005-07-14,Approved 2022,VEN329,5294,North America,,,,2,,Initial Submission,2022-07-04,05/07/2022,,,
PP00017-2,2005-07-14,Approved 2022,VEN238,5248,Morocco,,,,2,,Annual Validation,2022-07-04,06/07/2022,,,
PP00014-01,2005-07-14,Approved 2022,VEN329,5173,Mexico,,,,2,,Initial Submission,2022-07-29,05/08/2022,,,
PP00020-2,2005-07-14,Approved 2022,VEN238,5660,Europe,,,,2,,Initial Submission,2022-08-03,08/08/2022,,,
PP00020-3,2005-07-14,Approved 2022,VEN238,5561,Europe,,,,2,,Initial Submission,2022-08-03,08/08/2022,,,
PP00020-1,2005-07-14,Approved 2022,VEN238,5659,Europe,,,,2,,Initial Submission,2022-08-23,31/08/2022,,,
PP00018-17,2005-07-14,Approved 2022,VEN329,5257,North America,,,,2,,Initial Submission,2022-09-05,05/09/2022,,,
PP00018-18,2005-07-14,Approved 2022,VEN238,5258,North America,,,,2,,Initial Submission,2022-09-05,06/09/2022,,,
PP00018-19,2005-07-14,Approved 2022,VEN238,5259,North America,,,,2,,Initial Submission,2022-09-05,06/09/2022,,,
PP00018-10,2005-07-14,Approved 2022,VEN238,5250,North America,,,,2,,Initial Submission,2022-08-23,07/09/2022,,,
PP00018-20,2005-07-14,Approved 2022,VEN238,5261,North America,,,,2,,Initial Submission,2022-09-05,07/09/2022,,,
PP00018-15,2005-07-14,Approved 2022,VEN238,5255,North America,,,,2,,Initial Submission,2022-09-07,07/09/2022,,,
PP00018-21,2005-07-14,Approved 2022,VEN329,5262,North America,,,,2,,Initial Submission,2022-09-07,07/09/2022,,,
PP00013-1,2005-07-14,Approved 2022,VEN038,71,Mexico,,,,2,,Initial Submission,2022-05-25,26/09/2022,,,
PP00018-11,2005-07-14,Approved 2022,VEN238,5251,North America,,,,2,,Initial Submission,2022-08-26,28/09/2022,,,
PP00018-13,2005-07-14,Approved 2022,VEN238,5253,North America,,,,2,,Initial Submission,2022-08-30,04/10/2022,,,
PP00018-14,2005-07-14,Approved 2022,VEN238,5254,North America,,,,2,,Initial Submission,2022-08-30,04/10/2022,,,
PP00018-22,2005-07-14,Approved 2022,VEN238,5263,North America,,,,2,,Initial Submission,2022-09-29,04/10/2022,,,
PP00018-25,2005-07-14,Approved 2022,VEN238,5266,North America,,,,2,,Initial Submission,2022-10-06,06/10/2022,,,
PP00018-26,2005-07-14,Approved 2022,VEN238,5267,North America,,,,2,,Initial Submission,2022-10-06,07/10/2022,,,
PP00018-27,2005-07-14,Approved 2022,VEN238,5268,North America,,,,2,,Initial Submission,2022-10-06,07/10/2022,,,
PP00018-23,2005-07-14,Approved 2022,VEN238,5264,North America,,,,2,,Initial Submission,2022-10-12,13/10/2022,,,
PP00018-28,2005-07-14,Approved 2022,VEN238,5269,North America,,,,2,,Initial Submission,2022-10-12,13/10/2022,,,
PP00018-29,2005-07-14,Approved 2022,VEN238,5270,North America,,,,2,,Initial Submission,2022-10-18,18/10/2022,,,
PP00018-31,2005-07-14,Approved 2022,VEN238,5273,North America,,,,2,,Initial Submission,2022-10-21,21/10/2022,,,
PP00018-34,2005-07-14,Approved 2022,VEN329,5276,North America,,,,2,,Initial Submission,2022-11-04,04/11/2022,,,
PP00018-33,2005-07-14,Approved 2022,VEN238,5275,North America,,,,2,,Initial Submission,2022-11-08,08/11/2022,,,
PP00018-35,2005-07-14,Approved 2022,VEN329,5277,North America,,,,2,,Initial Submission,2022-11-10,10/11/2022,,,
PP00018-36,2005-07-14,Approved 2022,VEN329,5278,North America,,,,2,,Initial Submission,2022-11-10,10/11/2022,,,
PP00018-37,2005-07-14,Approved 2022,VEN329,5279,North America,,,,2,,Initial Submission,2022-11-10,10/11/2022,,,
PP00018-40,2005-07-14,Approved 2022,VEN238,5283,North America,,,,2,,Initial Submission,2022-11-25,25/11/2022,,,
PP00018-41,2005-07-14,Approved 2022,VEN238,5284,North America,,,,2,,Initial Submission,2022-11-25,28/11/2022,,,
PP00018-42,2005-07-14,Approved 2022,VEN238,5285,North America,,,,2,,Initial Submission,2022-11-25,28/11/2022,,,
PP00024-01,2005-07-14,Approved 2022,VEN238,4498,Europe,,,,2,,Initial Submission,2022-12-01,20/12/2022,,,
PP00018-46,2005-07-14,Approved 2022,VEN329,5289,North America,,,,2,,Initial Submission,2022-12-20,20/12/2022,,,
PP00021-1,2005-07-14,Approved 2022,VEN038,5296,Europe,,,,2,,Initial Submission,2022-07-11,25/01/2023,,,
PP00002-1,2005-07-14,,VEN238,5241,Morocco,,,,2,,Initial Submission,2020-08-01,,,,
PP00002-2,2005-07-14,,VEN238,5243,Morocco,,,,2,,Initial Submission,2020-08-01,,,,
PP00009-1,2005-07-14,PSW Pending Approve,VEN238,5658,Lithuania,,,,2,,Initial Submission,2021-09-06,,,,
PP00011-1,2005-07-14,PSW Pending Approve,VEN025,105,Mexico,,,,1,,Tooling,2021-12-20,,,,
PP00011-2,2005-07-14,PSW Pending Approve,VEN025,103,Mexico,,,,1,,Tooling,2021-12-20,,,,
PP00017-1,2005-07-14,PSW Pending Approve,VEN238,5247,Morocco,,,,2,,Annual Validation,2022-05-12,,,,
PP00019-0001,2005-07-14,PSW Pending Approve,VEN238,114,Mexico,,,,2,,Initial Submission,2022-07-04,,,,
PP00018-38,2005-07-14,PSW Pending Approve,VEN238,5280,North America,,,,2,,Initial Submission,2022-12-02,,,,
PP00018-39,2005-07-14,PSW Pending Approve,VEN238,5281,North America,,,,2,,Initial Submission,2022-12-02,,,,
PP00006-1,2005-07-14,NO Req from Customer,VEN025,5234,Hungary,,,,2,,Initial Submission,,,,,
PP00025-1,2022-07-14,Approved 2022,VEN238,75,Mexico,,,,2,,Initial Submission,2022-11-30,12/12/2022,,,
PP00025-2,2022-07-14,Approved 2022,VEN238,73,Mexico,,,,2,,Initial Submission,2022-11-30,12/12/2022,,,
PP00027-10,2022-07-21,IMDS approved,VEN238,4574,Europe,,1137288954/2,,,,Only IMDS,2022-07-21,,,,#N/D
PP00027-11,2022-07-21,IMDS approved,VEN238,4575,Europe,,1137289592/2,,,,Only IMDS,2022-07-21,,,,#N/D
PP00027-04,2022-08-03,IMDS approved,VEN238,4570,Europe,,1146793758,,,,Only IMDS,2022-08-03,,,,0
PP00036-04,2022-09-13,PSW Pending Approve,VEN238,5177,Mexico,,1220870158,,2,,Initial Submission,2023-05-16,,,,
PP00036-05,2022-09-21,PSW Pending Approve,VEN238,5178,Mexico,,1216298197,,2,,Initial Submission,2023-04-28,,,,
PP00029-01,2022-11-14,PSW Pending Approve,VEN329,5123,Mexico,,1198485921,,2,,Initial Submission,2023-02-24,,,,
PP00029-03,2022-11-14,PSW Pending Approve,VEN329,5124,Mexico,,1199854155,,2,,Initial Submission,2023-02-24,,,,
PP00029-04,2022-11-14,PSW Pending Approve,VEN329,5125,Mexico,,1199292910,,2,,Initial Submission,2023-02-24,,,,
PP00029-06,2022-11-14,PSW Pending Approve,VEN329,5126,Mexico,,1196335819,,2,,Initial Submission,2023-02-24,,,,
PP00029-07,2022-11-14,PSW Pending Approve,VEN329,5127,Mexico,,1199295023,,2,,Initial Submission,2023-02-24,,,,
PP00029-08,2022-11-14,PSW Pending Approve,VEN329,5128,Mexico,,1199871420,,2,,Initial Submission,2023-02-24,,,,
PP00029-09,2022-11-14,PSW Pending Approve,VEN329,5129,Mexico,,1196335595,,2,,Initial Submission,2023-02-24,,,,
PP00029-10,2022-11-14,PSW Pending Approve,VEN329,5130,Mexico,,1199874872,,2,,Initial Submission,2023-02-24,,,,
PP00026-01,2022-11-21,Approved 2023,VEN329,5594,Mexico,,1188884297/2,,2,,Initial Submission,2023-01-17,27/02/2023,,,
PP00026-02,2022-11-21,Approved 2023,VEN329,5597,Mexico,,1188884584,,2,,Initial Submission,2023-01-17,27/02/2023,,,
PP00026-03,2022-11-21,Approved 2023,VEN329,5600,Mexico,,1189258225 / 2,,2,,Initial Submission,2023-01-17,27/02/2023,,,
PP00026-04,2022-11-21,Approved 2023,VEN329,5603,Mexico,,1189263052,,2,,Initial Submission,2023-01-17,27/02/2023,,,
PP00026-05,2022-11-21,Approved 2023,VEN329,5605,Mexico,,1189263411,,2,,Initial Submission,2023-01-17,27/02/2023,,,
PP00026-06,2022-11-21,Approved 2023,VEN329,5607,Mexico,,1189992264,,2,,Initial Submission,2023-01-20,27/02/2023,,,
PP00026-07,2022-11-21,Approved 2023,VEN329,5609,Mexico,,1197575741,,2,,Initial Submission,2023-02-16,27/02/2023,,,
PP00024-01,2022-12-01,Approved 2022,VEN238,4498,Europe,,,,2,,Initial Submission,2022-12-01,20/12/2022,,,#N/D
PP00027-02,2023-01-04,Approved 2023,VEN238,4583,Europe,,1188123916,,2,,Initial Submission,2023-01-18,,,,#N/D
PP00027-08,2023-01-06,Approved 2023,VEN238,4585,Europe,,1189496022,,2,,Initial Submission,2023-01-18,19/01/2023,,,#N/D
PP00027-15,2023-01-12,Approved 2023,VEN238,4586,Europe,,1189510842,,2,,Initial Submission,2023-01-18,19/01/2023,,,#N/D
PP00027-13,2023-01-18,IMDS approved,VEN238,5576,Europe,,1189552960,,,,Only IMDS,2023-01-18,,,,#N/D
PP00028-02,2023-01-19,Approved 2023,VEN329,53,North America,,1194209127,,2,,Initial Submission,2023-02-03,07/02/2023,,,
PP00028-03,2023-01-30,Approved 2023,VEN329,5306,North America,,1196293250,,2,,Initial Submission,2023-02-10,13/02/2023,,,
PP00032-02,2023-01-31,Approved 2023,VEN329,5423,South America,,1172779204,,3,,Initial Submission,2023-03-08,10/10/2023,,,
PP00032-01,2023-01-31,PSW Pending Approve,VEN329,5422,South America,,1200695361,,3,,Initial Submission,2023-03-08,,,,
PP00032-03,2023-01-31,PSW Pending Approve,VEN329,5424,South America,,1201049996,,3,,Initial Submission,2023-03-08,,,,
PP00032-04,2023-01-31,PSW Pending Approve,VEN329,5425,South America,,1201403652,,3,,Initial Submission,2023-03-08,,,,
PP00032-05,2023-01-31,PSW Pending Approve,VEN329,5427,South America,,1201408694,,3,,Initial Submission,2023-03-08,,,,
PP00032-06,2023-01-31,PSW Pending Approve,VEN329,5428,South America,,1201415221,,3,,Initial Submission,2023-03-08,,,,
PP00032-08,2023-01-31,PSW Pending Approve,VEN329,5431,South America,,1201419866,,2,,Initial Submission,2023-03-08,,,,
PP00032-09,2023-01-31,PSW Pending Approve,VEN329,5433,South America,,1201420648,,2,,Initial Submission,2023-03-08,,,,
PP00032-10,2023-01-31,PSW Pending Approve,VEN329,5434,South America,,1201422476,,3,,Initial Submission,2023-03-08,,,,
PP00032-11,2023-01-31,PSW Pending Approve,VEN329,5436,South America,29,1201792533,,3,,Initial Submission,2023-03-08,,,,
PP00032-12,2023-01-31,PSW Pending Approve,VEN238,5438,South America,,1201795555,,3,,Initial Submission,2023-03-08,,,,
PP00032-13,2023-01-31,PSW Pending Approve,VEN329,5439,South America,,1201805481,,3,,Initial Submission,2023-03-08,,,,
PP00032-14,2023-01-31,PSW Pending Approve,VEN329,5440,South America,,1202120858,,3,,Initial Submission,2023-03-08,,,,
PP00032-15,2023-01-31,PSW Pending Approve,VEN329,5441,South America,,1202139545,,3,,Initial Submission,2023-03-08,,,,
PP00032-07,2023-01-31,It's no longer necessary from customer,VEN329,5429,South America,,1201418073,,2,,Initial Submission,,,,,
PP00032-16,2023-01-31,It's no longer necessary from customer,VEN238,5442,South America,,1202433545,,2,,Initial Submission,,,,,
PP00032-17,2023-01-31,It's no longer necessary from customer,VEN238,5443,South America,,,,2,,Initial Submission,,,,,
PP00032-18,2023-01-31,It's no longer necessary from customer,VEN238,5444,South America,,,,2,,Initial Submission,,,,,
PP00032-20,2023-01-31,It's no longer necessary from customer,VEN238,5445,South America,,,,2,,Initial Submission,,,,,
PP00031-01,2023-02-01,Approved 2023,VEN238,5164,,,1201810614,,2,,Initial Submission,2023-03-03,16/06/2023,,,#N/D
PP00030-01,2023-02-01,PSW Pending Approve,VEN238,5226,Costa Rica,,1200668698,,2,,Initial Submission,2023-02-28,,,,#N/D
PP00026-09,2023-02-07,Approved 2023,VEN329,5611,Mexico,,1201094179,,2,,Initial Submission,2023-03-02,05/04/2023,,,
PP00033-01,2023-02-07,Approved 2023,VEN038,137,,,1212289387,,2,,Initial Submission,2023-04-13,30/05/2023,,,
PP00034-01,2023-02-16,PSW Pending Approve,VEN329,4803,Mexico,,1201048994,,2,,Initial Submission,2023-03-02,,,,
PP00034-02,2023-02-16,PSW Pending Approve,VEN329,4802,Mexico,,1201049955,,2,,Initial Submission,2023-03-02,,,,
PP00036-01,2023-02-21,Approved 2023,VEN238,5174,Mexico,,1212251748,,2,,Initial Submission,2023-04-12,15/05/2023,,,
PP00027-0016,2023-02-22,Approved 2023,VEN238,4577,Europe,,1201422457,,2,,Initial Submission,2023-03-15,28/03/2023,,,#N/D
PP00032-26,2023-03-07,PSW Pending Approve,VEN329,5446,South America,,1213677083,,3,,Initial Submission,2023-04-21,,,,
PP00032-28,2023-03-07,PSW Pending Approve,VEN329,5448,South America,,1210982220,,3,,Initial Submission,2023-04-21,,,,
PP00032-29,2023-03-07,PSW Pending Approve,VEN329,5450,South America,,1194209127,,3,,Initial Submission,2023-04-21,,,,
PP00032-30,2023-03-07,PSW Pending Approve,VEN329,5452,South America,,1214709577,,3,,Initial Submission,2023-04-21,,,,
PP00032-31,2023-03-07,PSW Pending Approve,VEN329,5454,South America,,1214745059,,3,,Initial Submission,2023-04-21,,,,
PP00032-32,2023-03-07,PSW Pending Approve,VEN329,5456,South America,,1214811503,,3,,Initial Submission,2023-04-21,,,,
PP00029-12,2023-03-10,Approved 2023,VEN329,5131,Mexico,,1212621816,,4,,Initial Submission,2023-04-13,18/04/2023,,,
PP00029-13,2023-03-10,Approved 2023,VEN329,5132,Mexico,,1212622204,,4,,Initial Submission,2023-04-13,18/04/2023,,,
PP00029-14,2023-03-10,Approved 2023,VEN329,5133,Mexico,,1212622233,,4,,Initial Submission,2023-04-13,18/04/2023,,,
PP00037-01,2023-03-10,PSW Pending Approve,VEN238,4831,Mexico,,1218993179,,2,,Initial Submission,2023-05-19,,,,
PP00037-02,2023-03-10,PSW Pending Approve,VEN329,4829,Mexico,,1218993478,,2,,Initial Submission,2023-05-19,,,,
PP00037-03,2023-03-10,PSW Pending Approve,VEN329,4830,Mexico,,1218993577,,2,,Initial Submission,2023-05-19,,,,
PP00028-04,2023-03-14,Approved 2023,VEN238,5309,North America,,1205276080,,2,,Initial Submission,2023-03-16,29/03/2023,,,QR2022067
PP00027-17,2023-03-14,Approved 2023,VEN238,4587,Europe,,1204989903,,3,,Initial Submission,2023-09-14,18/09/2023,,,#N/D
PP00030-02,2023-03-15,MDS submited,VEN238,5227,USA,,1204984701,,2,,Only IMDS,2023-03-15,,,,#N/D
PP00027-09,2023-03-20,Approved 2023,VEN238,4578,Europe,,1188110562,,2,,Initial Submission,2023-05-16,02/06/2023,,,
PP00028-05,2023-03-21,Approved 2023,VEN238,5312,North America,,1214724948,,2,,Initial Submission,2023-04-21,24/04/2023,,,
PP00040-01,2023-03-27,Approved 2023,VEN238,4615,Brazil,,1188109083,,2,,Initial Submission,2023-04-11,18/04/2023,,,
PP00036-02,2023-03-30,Approved 2023,VEN238,5175,Mexico,,1223074418,,2,,Initial Submission,2023-05-23,09/08/2023,,,
PP00036-03,2023-03-30,Approved 2023,VEN238,5176,Mexico,,1223136747,,2,,Initial Submission,2023-05-23,09/08/2023,,,
PP00034-03,2023-04-04,Approved 2023,VEN329,4774,Mexico,,1229761980,,2,,Initial Submission,2023-06-09,04/07/2023,,,
PP00038-01,2023-04-04,Approved 2023,VEN329,4215,Mexico,,1213984825 / 2,,2,,Initial Submission,2023-04-19,13/02/2024,,,
PP00038-02,2023-04-04,Approved 2023,VEN329,4216,Mexico,,1213987728 / 2,,2,,Initial Submission,2023-04-19,13/02/2024,,,
PP00038-03,2023-04-04,Approved 2023,VEN329,4217,Mexico,,1213993069 / 2,,2,,Initial Submission,2023-04-19,13/02/2024,,,
PP00038-04,2023-04-04,Approved 2023,VEN329,4218,Mexico,,1213995715 / 2,,2,,Initial Submission,2023-04-19,13/02/2024,,,
PP00027-06,2023-04-11,Approved 2023,VEN238,4572,Europe,,1189551671,,2,,Initial Submission,2023-05-25,06/06/2023,,,
PP00027-01,2023-04-11,Approved 2023,VEN238,4569,Europe,,1188108153,,2,,Initial Submission,2023-05-10,08/06/2023,,,PR2025003
PP00027-03,2023-04-11,Approved 2023,VEN238,4584,Europe,,1189550557,,2,,Initial Submission,2023-05-10,08/06/2023,,,#N/D
PP00027-05,2023-04-11,Approved 2023,VEN238,4571,Europe,,1188109083,,2,,Initial Submission,2023-05-25,08/06/2023,,,
PP00028-06,2023-04-19,PSW Pending Approve,VEN238,43,North America,,1202433545,,2,,Annual Validation,2023-05-11,,,,#N/D
PP00012-03,2023-04-19,PSW Pending Approve,VEN238,4046,Mexico,,1076160554/2,,2,,Annual Validation,2023-05-23,,,,
PP00028-07,2023-04-24,Approved 2023,VEN329,5315,North America,,1210982220,,3,,Annual Validation,2023-05-11,05/06/2023,,,#N/D
PP00027-12,2023-04-25,Approved 2023,VEN238,4588,Europe,,1189551983,,2,,Initial Submission,2023-05-25,02/08/2023,,,#N/D
PP00028-08,2023-05-01,Approved 2023,VEN238,40,North America,33,1125717047/2,,2,,Annual Validation,2023-05-31,18/09/2023,,,#N/D
PP00024-10,2023-05-03,PSW Pending Approve,VEN329,5483,Europe,,1214709577,,2,,Initial Submission,2023-05-23,,,,#N/D
PP00024-13,2023-05-03,PSW Pending Approve,VEN329,5489,Europe,,1213677083,,2,,Initial Submission,2023-05-23,,,,#N/D
PP00024-09,2023-05-03,PSW Pending Approve,VEN329,5481,Europe,,1201418073,,2,,Initial Submission,2023-05-24,,,,#N/D
PP00024-15,2023-05-03,PSW Pending Approve,VEN329,5493,Europe,,1210982220,,2,,Initial Submission,2023-05-24,,,,#N/D
PP00024-04,2023-05-03,PSW Pending Approve,VEN329,5478,Europe,,1230873815,,2,,Initial Submission,2023-06-14,,,,
PP00024-07,2023-05-03,PSW Pending Approve,VEN329,5479,Europe,,1231239934,,2,,Initial Submission,2023-06-14,,,,
PP00024-11,2023-05-03,PSW Pending Approve,VEN329,5485,Europe,,1230226930,,2,,Initial Submission,2023-06-14,,,,
PP00024-12,2023-05-03,PSW Pending Approve,VEN329,5487,Europe,38,1230815655,,2,,Initial Submission,2023-06-14,,,,
PP00024-14,2023-05-03,PSW Pending Approve,VEN329,5491,Europe,,1230868873,,2,,Initial Submission,2023-06-14,,,,
PP00028-09,2023-05-07,Approved 2023,VEN238,44,North America,,1128113642/2,,2,,Annual Validation,2023-05-31,08/08/2023,,,#N/D
PP00028-10,2023-05-07,PSW Pending Approve,VEN238,47,North America,,1128113771/2,,2,,Annual Validation,2023-05-31,,,,0
PP00028-11,2023-05-08,Approved 2023,VEN238,39,North America,,1125702153/2,,2,,Annual Validation,2023-05-31,26/10/2023,,,#N/D
PP00028-12,2023-05-09,PSW Pending Approve,VEN238,52,North America,,1128116908/1,,1,,Annual Validation,2023-06-16,,,,#N/D
PP00028-13,2023-05-09,PSW Pending Approve,VEN238,5317,North America,,1128115723/1,,1,,Annual Validation,2023-06-16,,,,#N/D
PP00028-14,2023-05-09,PSW Pending Approve,VEN238,5318,North America,,1128116087/1,,1,,Annual Validation,2023-06-16,,,,#N/D
PP00027-18,2023-05-12,Approved 2023,VEN238,5577,Europe,,1231574852,,2,,Initial Submission,2023-06-15,03/09/2023,,,#N/D
PP00032-33,2023-05-12,PSW Pending Approve,VEN329,5457,South America,,1232776754,,2,,Initial Submission,2023-06-20,,,,
PP00028-15,2023-05-15,Approved 2023,VEN329,55,North America,,1231239934,,3,,Initial Submission,2023-06-15,28/08/2023,,,0
PP00024-17,2023-05-19,PSW Pending Approve,VEN329,5494,Europe,,1214745059,,2,,Initial Submission,2023-06-23,,,,
PP00024-18,2023-05-19,PSW Pending Approve,VEN329,5495,Europe,,1233581520,,2,,Initial Submission,2023-06-23,,,,
PP00028-20,2023-05-21,Approved 2023,VEN329,4016,North America,,1132191059/1,,1,,Annual Validation,2023-06-16,31/07/2023,,,0
PP00028-16,2023-05-22,Approved 2023,VEN329,5321,North America,,1229352086,,2,,Initial Submission,2023-06-12,15/07/2023,,,#N/D
PP00028-18,2023-05-22,Approved 2023,VEN329,5327,North America,,1229358998,,2,,Initial Submission,2023-06-12,24/08/2023,,,#N/D
PP00028-17,2023-05-22,Approved 2023,VEN329,5324,North America,,1229357372,,2,,Initial Submission,2023-06-12,,,,#N/D
PP00028-19,2023-05-22,Approved 2023,VEN329,5329,North America,,1229370708,,2,,Initial Submission,2023-06-12,,,,#N/D
PP00028-21,2023-06-05,Approved 2023,VEN329,5332,North America,,1134426437/1,,1,,Annual Validation,2023-06-23,09/08/2023,,,#N/D
